"","c..good.night.romance.eye.of.the.tiger.ufeff....jajajajajajajajajfufuufufuufufuufufuufufuufufuuuafufuuaufeff..."
"402","ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc ucubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc ucubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc ucubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub uba ubc uc ub ubc uc ub uba ubc uc ub uba ubc uc ubc uc ub sorry dropped my bag of doritos but mum ill pick em up later after i get kill mumufeff"
"403","katy perry roar official httpyoutubecevxzvsjlkufeff"
"404","actually katy perry location is in philippines and im proud of itfufuufufuuafufuuufeff"
"405","id drag my balls through miles of glass just to hear this chick fartufeff"
"406","can anyone help me and my fiance afford our dream elopement to maui it had been my dream since i was even a dollar helps greatly appreciated httpwwwgofundmecomjqfhkufeff"
"407","yeahhhhhhhhhh special people pls sing with meufeff"
"408","goodufeff"
"409","tudo de bom essa musica eu xoroufeff"
"410","i love this song i heard it before but i really understood its meaning today thank you katyufeff"
"411","how like thatufeff"
"412","fufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudfufuudufeff"
"413","hermoso el vídeoufeff"
"414","woooww so amazing ufeff"
"415","i love your music lol katy perry love you so much my name is rozlynn calloway love you lolufeff"
"416","men are overconfident weaklings who quickly destroyed by lions women are the real masters of the planet message received thanx fembotsufeff"
"417","katty perry roar ufeff"
"418","its ufeff"
"419","hay katy perry cool cgufeff"
"420","i love you katty i love ufeff"
"421","i love herufeff"
"422","where can i get the last outfitufeff"
"423","thanksufeff"
"424","katy perry roar official muito legal ud u u u uufeff"
"425","i love this song are you rilu ufeff"
"426","ok this should cover me for the next years thumbs up if youre watching in or ufeff"
"427","check out this video on youtubeufeff"
"428","the name katy perry has words hitler was once the name hitler has words is the devils number has numbers the illuminati pyramid has sides katy perry is illumaniti confirmed has science gone too far yes fellow xxmlgxx quick shotters the truth is hard to take ufeff"
"429","i love this musicufeff"
"430","check out this playlist on youtubeufeff"
"431","she really does have the best music videosufeff"
"432","meufeff"
"433","anyone notice that she looks so much like morgana from merlin ufeff"
